Metric,Distribution,Hard,Model,Eps
0.6594202458568175,bernoulli,True,model1,2.252868626282704e-07,
0.7601082685842677,none,False,none,3.1199122451564985e-05,
0.5438874950796485,none,True,model1,4.000346957520815e-05,
0.7567112462059222,normal,False,none,0.005348708843230263,
0.7601082685842677,none,False,none,2.776076489010883e-07,
0.544107807458772,bernoulli,True,model2,1.5136083806194373e-05,
0.5524770353206019,normal,True,none,0.01470744127677007,
0.7601082685842677,none,False,none,0.008539657713621297,
0.5123553809904323,normal,True,model2,1.4637116970012828e-07,
0.6860574034796642,none,False,model2,0.00021526561906329387,
0.7601082685842677,none,False,none,5.3087824241707895e-06,
0.7643787644024665,none,False,model2,1.816626607089499e-06,
0.543120635591628,normal,True,model1,2.1207393369746717e-07,
0.7407187227241272,bernoulli,False,model2,4.6546216026042525e-05,
0.0038070505009964108,gumbel_softmax,False,model2,0.00010969232844327044,
0.20263667615539815,gumbel_softmax,False,none,0.000825776588169115,
0.7426171126139841,none,False,model2,0.048393128163106564,
0.7601082685842677,none,False,none,3.3535979300088492e-06,
0.7601082685842677,none,False,none,1.5828493062201873e-06,
0.7644746503772214,none,False,model1,0.001299383124158111,
0.7626580845191278,none,False,model1,0.0010472218682175732,
0.7637618121311035,none,False,model1,1.5492802407018327e-06,
0.7655559703569512,none,False,model1,0.0009870616235068185,
0.9181866530337828,gumbel_softmax,False,model1,0.0011100395273281897,
0.9176921194324662,gumbel_softmax,False,model1,0.000919167968082338,
0.039771238545887176,gumbel_softmax,False,model1,0.000655301871207412,
0.11224565668404103,gumbel_softmax,False,model1,0.002082314163711359,
0.891038325303096,gumbel_softmax,False,model1,0.0026836445222981837,
0.2994037838764489,gumbel_softmax,False,model1,0.00024286771092268177,
0.9080071880400888,gumbel_softmax,False,model1,0.0024701392176037975,
0.9346792960208872,gumbel_softmax,False,model1,0.06740776523028502,
0.9259724297472947,gumbel_softmax,False,model1,0.05605393187074177,
0.9164855894598758,gumbel_softmax,False,model1,0.09423525919578969,
0.014142339278943837,gumbel_softmax,True,model1,0.09959092715795984,
0.9123610044785253,gumbel_softmax,False,model1,0.022539075853342333,
0.10103061097115279,gumbel_softmax,False,model1,0.026907339440143962,
0.191643395267427,gumbel_softmax,False,model1,0.09997799961973665,
0.03487668812088668,gumbel_softmax,False,model1,0.023933236183443948,
0.054813794880174106,gumbel_softmax,True,model1,0.04089428555217057,
0.6785591836333327,bernoulli,True,model1,0.048653078671114486,
0.7754589043545528,bernoulli,False,model1,0.0077149868156813255,
0.043280124912969765,gumbel_softmax,True,model1,0.011185164388427902,
0.7877120450821631,bernoulli,False,model1,0.003808017776176461,
0.7578252374325752,normal,False,model1,0.004842200035909127,
0.757682068832271,normal,False,model1,0.006219087224379128,
0.9135794733679384,gumbel_softmax,False,model1,0.00031760278700634556,
0.9105620495957186,gumbel_softmax,False,model1,0.0004582354787632742,
0.9235003588316402,gumbel_softmax,False,model1,0.015801261386343704,
0.9205413799309989,gumbel_softmax,False,model1,2.5019705697835545e-05,
0.9048628078040902,gumbel_softmax,False,model1,1.788000349795402e-05,
