Seed,Fold,Explainer,Lambda_1,Lambda_2,AUP,AUR,Information,Entropy,AUROC,AUPRC
42,0,extremal_mask,0.01,0.01,0.5439,0.7796,1.178e+03,68.19,0.7912,0.6003
42,1,extremal_mask,0.01,0.01,0.5127,0.7963,959.7,90.72,0.7553,0.4883
42,2,extremal_mask,0.01,0.01,0.4758,0.826,1.185e+03,75.37,0.7326,0.4856
42,3,extremal_mask,0.01,0.01,0.5023,0.8493,1.253e+03,83.87,0.784,0.5483
42,4,extremal_mask,0.01,0.01,0.5089,0.7907,910.2,94.72,0.7599,0.4993
42,0,extremal_mask,0.01,0.1,0.507,0.9045,1.961e+03,36.43,0.8108,0.6173
42,1,extremal_mask,0.01,0.1,0.5135,0.8992,1.862e+03,42.11,0.8084,0.6064
42,2,extremal_mask,0.01,0.1,0.5286,0.9196,1.916e+03,37.91,0.8504,0.6722
42,3,extremal_mask,0.01,0.1,0.4958,0.9283,2.006e+03,38.04,0.8362,0.6637
42,4,extremal_mask,0.01,0.1,0.5176,0.9076,1.935e+03,32.4,0.8317,0.6561
42,0,extremal_mask,0.01,1.0,0.5113,0.8873,1.861e+03,39.36,0.8136,0.6322
42,1,extremal_mask,0.01,1.0,0.494,0.8801,1.821e+03,37.12,0.7902,0.5984
42,2,extremal_mask,0.01,1.0,0.5373,0.8906,1.728e+03,38.57,0.8223,0.6368
42,3,extremal_mask,0.01,1.0,0.5318,0.9118,1.832e+03,35.22,0.846,0.6803
42,4,extremal_mask,0.01,1.0,0.5003,0.8937,1.865e+03,35.72,0.8147,0.6639
42,0,extremal_mask,0.01,10.0,0.4741,0.9037,1.906e+03,38.78,0.8156,0.6497
42,1,extremal_mask,0.01,10.0,0.4974,0.8912,1.889e+03,38.73,0.8216,0.6511
42,2,extremal_mask,0.01,10.0,0.4792,0.8995,1.945e+03,32.92,0.785,0.5793
42,3,extremal_mask,0.01,10.0,0.4654,0.8902,1.898e+03,34.42,0.7821,0.6037
42,4,extremal_mask,0.01,10.0,0.4803,0.8934,1.901e+03,31.32,0.8107,0.6253
42,0,extremal_mask,0.01,100.0,0.4772,0.8838,1.925e+03,37.85,0.798,0.6271
42,1,extremal_mask,0.01,100.0,0.5324,0.9036,1.715e+03,39.58,0.8126,0.6089
42,2,extremal_mask,0.01,100.0,0.4779,0.8992,2.004e+03,31.87,0.8094,0.6391
42,3,extremal_mask,0.01,100.0,0.4848,0.9057,1.782e+03,35.15,0.8057,0.6063
42,4,extremal_mask,0.01,100.0,0.4626,0.8953,1.972e+03,36.98,0.7992,0.646
42,0,extremal_mask,0.1,0.01,0.7701,0.5139,571.4,84.74,0.7898,0.7194
42,1,extremal_mask,0.1,0.01,0.8389,0.5247,563.5,93.58,0.8412,0.7664
42,2,extremal_mask,0.1,0.01,0.7736,0.4915,538.9,85.99,0.7884,0.6882
42,3,extremal_mask,0.1,0.01,0.7373,0.3255,389.7,61.26,0.6933,0.6008
