Seed,Fold,Explainer,Lambda_1,Lambda_2,AUP,AUR,Information,Entropy,AUROC,AUPRC
42,0,deep_lift,1,1,0.939,0.473,3.198e+04,3.044e+04,0.9591,0.9408
42,0,dyna_mask,1,1,0.7028,0.7293,1.097e+05,2.45e+04,0.8639,0.6881
42,0,extremal_mask,1,1,0.8579,0.7795,2.628e+05,8.514e+03,0.907,0.8649
42,0,fit,1,1,0.4094,0.5245,8.479e+04,3.302e+04,0.6477,0.4376
42,0,gradient_shap,1,1,0.8796,0.4323,2.775e+04,2.847e+04,0.8761,0.8445
42,0,integrated_gradients,1,1,0.9362,0.4736,3.167e+04,3.042e+04,0.9565,0.9375
42,0,lime,1,1,0.9503,0.4475,3.05e+04,2.924e+04,0.953,0.9363
42,0,augmented_occlusion,1,1,0.8124,0.4216,3.248e+04,3.458e+04,0.9424,0.8854
42,0,occlusion,1,1,0.91,0.3908,2.752e+04,2.834e+04,0.8955,0.8669
42,0,retain,1,1,0.6075,0.342,1.677e+04,2.665e+04,0.8171,0.6224
42,1,deep_lift,1,1,0.9136,0.4564,3.447e+04,3.128e+04,0.9318,0.9017
42,1,dyna_mask,1,1,0.6967,0.7554,1.073e+05,2.48e+04,0.884,0.6981
42,1,extremal_mask,1,1,0.8513,0.766,2.788e+05,8.221e+03,0.8959,0.8652
42,1,fit,1,1,0.4126,0.5669,8.359e+04,3.295e+04,0.6895,0.4499
42,1,gradient_shap,1,1,0.8401,0.4259,2.867e+04,2.911e+04,0.8488,0.7915
42,1,integrated_gradients,1,1,0.9107,0.4526,3.335e+04,3.112e+04,0.9293,0.8984
42,1,lime,1,1,0.9262,0.4341,3.005e+04,2.912e+04,0.928,0.8991
42,1,augmented_occlusion,1,1,0.7373,0.373,3.32e+04,3.487e+04,0.9182,0.8316
42,1,occlusion,1,1,0.8446,0.3887,2.8e+04,2.864e+04,0.8587,0.7912
42,1,retain,1,1,0.5529,0.3412,1.607e+04,2.498e+04,0.7821,0.5675
42,2,deep_lift,1,1,0.9195,0.4446,3.312e+04,3.075e+04,0.9389,0.9093
42,2,dyna_mask,1,1,0.7363,0.7919,1.095e+05,2.458e+04,0.8871,0.7069
42,2,extremal_mask,1,1,0.9156,0.7986,2.96e+05,7.248e+03,0.9243,0.8927
42,2,fit,1,1,0.417,0.5637,7.407e+04,3.353e+04,0.7205,0.4683
42,2,gradient_shap,1,1,0.8456,0.3949,2.753e+04,2.85e+04,0.8597,0.7861
42,2,integrated_gradients,1,1,0.916,0.4469,3.194e+04,3.064e+04,0.9363,0.906
42,2,lime,1,1,0.9298,0.4405,3.013e+04,2.926e+04,0.9432,0.9131
42,2,augmented_occlusion,1,1,0.7097,0.3559,3.282e+04,3.476e+04,0.9085,0.8115
42,2,occlusion,1,1,0.8616,0.3985,2.772e+04,2.848e+04,0.876,0.815
42,2,retain,1,1,0.6522,0.3112,1.855e+04,2.653e+04,0.8065,0.6193
42,3,deep_lift,1,1,0.9363,0.4463,3.044e+04,2.993e+04,0.9518,0.9285
42,3,dyna_mask,1,1,0.691,0.7508,1.106e+05,2.433e+04,0.8792,0.6949
42,3,extremal_mask,1,1,0.8852,0.7715,2.775e+05,7.972e+03,0.8991,0.8845
42,3,fit,1,1,0.4251,0.5399,7.532e+04,3.354e+04,0.7545,0.4871
42,3,gradient_shap,1,1,0.8739,0.4066,2.526e+04,2.754e+04,0.8674,0.8211
42,3,integrated_gradients,1,1,0.9345,0.4458,3.003e+04,2.991e+04,0.9503,0.9266
42,3,lime,1,1,0.946,0.4263,2.751e+04,2.827e+04,0.9525,0.9282
42,3,augmented_occlusion,1,1,0.7861,0.3898,3.059e+04,3.39e+04,0.9218,0.8577
42,3,occlusion,1,1,0.8847,0.3996,2.538e+04,2.758e+04,0.8784,0.8325
42,3,retain,1,1,0.7877,0.3325,1.742e+04,2.63e+04,0.8525,0.7271
42,4,deep_lift,1,1,0.8935,0.4503,3.084e+04,2.995e+04,0.9088,0.8774
42,4,dyna_mask,1,1,0.728,0.7869,1.126e+05,2.378e+04,0.8678,0.6869
42,4,extremal_mask,1,1,0.9141,0.7893,2.855e+05,7.819e+03,0.9216,0.9058
42,4,fit,1,1,0.4408,0.5504,7.149e+04,3.361e+04,0.7414,0.4745
42,4,gradient_shap,1,1,0.8053,0.4113,2.583e+04,2.781e+04,0.8078,0.7468
42,4,integrated_gradients,1,1,0.8908,0.4502,2.967e+04,2.979e+04,0.9063,0.8743
42,4,lime,1,1,0.9089,0.4411,2.733e+04,2.771e+04,0.9102,0.8825
42,4,augmented_occlusion,1,1,0.7301,0.4005,3.13e+04,3.395e+04,0.8848,0.7646
42,4,occlusion,1,1,0.8311,0.3859,2.738e+04,2.826e+04,0.8414,0.7772
42,4,retain,1,1,0.6246,0.3412,1.524e+04,2.416e+04,0.7391,0.5752
