Seed,Fold,Topk,Explainer,MAE Comprehensiveness,MAE Sufficiency,MSE Comprehensiveness,MSE Sufficiency
42,0,0.1,deep_lift,0.2043,0.2535,0.1792,0.2375
42,0,0.2,deep_lift,0.2495,0.2052,0.2339,0.1605
42,0,0.3,deep_lift,0.2772,0.1658,0.2872,0.1118
42,0,0.4,deep_lift,0.2948,0.1338,0.3178,0.08285
42,0,0.5,deep_lift,0.3061,0.107,0.3317,0.06047
42,0,0.6,deep_lift,0.3139,0.08239,0.3431,0.03857
42,0,0.1,occlusion,0.04811,0.3147,0.02142,0.3355
42,0,0.2,occlusion,0.07983,0.3029,0.04673,0.31
42,0,0.3,occlusion,0.1216,0.2846,0.07486,0.2763
42,0,0.4,occlusion,0.1826,0.2495,0.1233,0.2089
42,0,0.5,occlusion,0.2182,0.2419,0.1705,0.1852
42,0,0.6,occlusion,0.2366,0.2213,0.2072,0.1571
42,0,0.1,augmented_occlusion,0.04846,0.3145,0.0216,0.3351
42,0,0.2,augmented_occlusion,0.08029,0.3025,0.04708,0.3097
42,0,0.3,augmented_occlusion,0.1219,0.284,0.07537,0.2757
42,0,0.4,augmented_occlusion,0.1829,0.249,0.1236,0.2087
42,0,0.5,augmented_occlusion,0.2184,0.2414,0.1707,0.185
42,0,0.6,augmented_occlusion,0.2374,0.2204,0.2084,0.1565
42,0,0.1,integrated_gradients,0.199,0.2537,0.158,0.2359
42,0,0.2,integrated_gradients,0.2421,0.2071,0.2218,0.1788
42,0,0.3,integrated_gradients,0.2681,0.1708,0.2569,0.1368
42,0,0.4,integrated_gradients,0.2864,0.1394,0.2922,0.1045
42,0,0.5,integrated_gradients,0.2997,0.1126,0.3252,0.07688
42,0,0.6,integrated_gradients,0.3089,0.08839,0.3368,0.05517
42,0,0.1,temporal_integrated_gradients,0.2184,0.2337,0.1871,0.2303
42,0,0.2,temporal_integrated_gradients,0.2618,0.181,0.2467,0.1516
42,0,0.3,temporal_integrated_gradients,0.2867,0.1406,0.2901,0.1003
42,0,0.4,temporal_integrated_gradients,0.3019,0.1091,0.3166,0.07224
42,0,0.5,temporal_integrated_gradients,0.3115,0.08362,0.3323,0.05195
42,0,0.6,temporal_integrated_gradients,0.3178,0.06093,0.3416,0.03077
