Seed,Fold,Baseline,Topk,Explainer,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,0,Average,0.1,extremal_mask_none,0.9776,0.01557,0.1194,-0.0251,-0.01387
42,0,Average,0.1,extremal_mask_gru,0.9761,0.01849,0.1234,-0.02911,-0.01623
42,0,Average,0.1,extremal_mask_bi_gru,0.9759,0.01922,0.1242,-0.02995,-0.01668
42,0,Average,0.2,extremal_mask_none,0.9767,0.01416,0.1184,-0.0241,-0.01302
42,0,Average,0.2,extremal_mask_gru,0.9754,0.01874,0.1246,-0.03028,-0.01665
42,0,Average,0.2,extremal_mask_bi_gru,0.9759,0.01975,0.1261,-0.03187,-0.01734
42,0,Average,0.3,extremal_mask_none,0.978,0.01262,0.1163,-0.02204,-0.01217
42,0,Average,0.3,extremal_mask_gru,0.9754,0.01837,0.1243,-0.02998,-0.01643
42,0,Average,0.3,extremal_mask_bi_gru,0.9759,0.01883,0.1251,-0.0308,-0.01689
42,0,Average,0.4,extremal_mask_none,0.9785,0.01114,0.1143,-0.02006,-0.01117
42,0,Average,0.4,extremal_mask_gru,0.9769,0.01769,0.1235,-0.02918,-0.01611
42,0,Average,0.4,extremal_mask_bi_gru,0.9763,0.01791,0.1238,-0.02951,-0.01621
42,0,Average,0.5,extremal_mask_none,0.9778,0.00974,0.1127,-0.01846,-0.01089
42,0,Average,0.5,extremal_mask_gru,0.9765,0.0167,0.1221,-0.02785,-0.01553
42,0,Average,0.5,extremal_mask_bi_gru,0.9776,0.0165,0.1219,-0.02759,-0.01528
42,0,Average,0.6,extremal_mask_none,0.9774,0.008416,0.1114,-0.01713,-0.01033
42,0,Average,0.6,extremal_mask_gru,0.978,0.01167,0.1157,-0.0214,-0.01352
42,0,Average,0.6,extremal_mask_bi_gru,0.9789,0.01161,0.1157,-0.02145,-0.01364
42,0,Zeros,0.1,extremal_mask_none,0.9408,0.1081,0.3157,-0.2214,-0.06942
42,0,Zeros,0.1,extremal_mask_gru,0.9332,0.1233,0.3366,-0.2423,-0.07255
42,0,Zeros,0.1,extremal_mask_bi_gru,0.9343,0.129,0.342,-0.2477,-0.0732
42,0,Zeros,0.2,extremal_mask_none,0.9472,0.09897,0.314,-0.2197,-0.0662
42,0,Zeros,0.2,extremal_mask_gru,0.9385,0.127,0.3525,-0.2582,-0.07407
