Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,0,Average,0.1,extremal_mask,0.01,0.01,0.9813,0.01318,0.1194,-0.02217,-0.01257
42,0,Average,0.2,extremal_mask,0.01,0.01,0.9772,0.01425,0.1232,-0.02604,-0.01367
42,0,Average,0.3,extremal_mask,0.01,0.01,0.9767,0.01429,0.1237,-0.02653,-0.01398
42,0,Average,0.4,extremal_mask,0.01,0.01,0.9769,0.01443,0.1238,-0.0266,-0.01432
42,0,Average,0.5,extremal_mask,0.01,0.01,0.9774,0.01394,0.123,-0.02583,-0.01399
42,0,Average,0.6,extremal_mask,0.01,0.01,0.9783,0.01296,0.1216,-0.02437,-0.01288
42,0,Zeros,0.1,extremal_mask,0.01,0.01,0.9319,0.08871,0.2933,-0.1961,-0.06024
42,0,Zeros,0.2,extremal_mask,0.01,0.01,0.9361,0.0901,0.3253,-0.2281,-0.06494
42,0,Zeros,0.3,extremal_mask,0.01,0.01,0.9398,0.09217,0.3354,-0.2382,-0.06492
42,0,Zeros,0.4,extremal_mask,0.01,0.01,0.9435,0.09503,0.3401,-0.2429,-0.06408
42,0,Zeros,0.5,extremal_mask,0.01,0.01,0.9476,0.09449,0.3389,-0.2417,-0.06235
42,0,Zeros,0.6,extremal_mask,0.01,0.01,0.9491,0.08466,0.321,-0.2238,-0.05811
42,3,Average,0.1,extremal_mask,0.01,0.01,0.9824,0.02054,0.1224,-0.02941,-0.01317
42,3,Average,0.2,extremal_mask,0.01,0.01,0.9824,0.02157,0.1249,-0.03198,-0.01416
42,3,Average,0.3,extremal_mask,0.01,0.01,0.9822,0.0216,0.125,-0.03202,-0.01429
42,3,Average,0.4,extremal_mask,0.01,0.01,0.9822,0.02177,0.1251,-0.03216,-0.01446
42,3,Average,0.5,extremal_mask,0.01,0.01,0.9828,0.02178,0.1251,-0.0321,-0.01439
42,3,Average,0.6,extremal_mask,0.01,0.01,0.9835,0.02104,0.124,-0.03101,-0.01357
42,3,Zeros,0.1,extremal_mask,0.01,0.01,0.8969,0.1786,0.3803,-0.2873,-0.06996
42,3,Zeros,0.2,extremal_mask,0.01,0.01,0.9008,0.1823,0.4034,-0.3105,-0.07147
42,3,Zeros,0.3,extremal_mask,0.01,0.01,0.9067,0.1846,0.4103,-0.3174,-0.07066
42,3,Zeros,0.4,extremal_mask,0.01,0.01,0.913,0.1876,0.4165,-0.3235,-0.06924
42,3,Zeros,0.5,extremal_mask,0.01,0.01,0.9226,0.1883,0.4166,-0.3237,-0.06772
42,3,Zeros,0.6,extremal_mask,0.01,0.01,0.9352,0.1757,0.3958,-0.3029,-0.06559
42,2,Average,0.1,extremal_mask,0.01,0.01,0.9828,0.0153,0.1111,-0.02431,-0.01211
42,2,Average,0.2,extremal_mask,0.01,0.01,0.9815,0.01628,0.114,-0.02713,-0.01314
42,2,Average,0.3,extremal_mask,0.01,0.01,0.9813,0.01638,0.1142,-0.02736,-0.01339
42,2,Average,0.4,extremal_mask,0.01,0.01,0.9809,0.01646,0.1141,-0.02732,-0.01352
42,2,Average,0.5,extremal_mask,0.01,0.01,0.9809,0.01633,0.1139,-0.02705,-0.01325
42,2,Average,0.6,extremal_mask,0.01,0.01,0.9806,0.01553,0.1126,-0.02577,-0.01233
42,2,Zeros,0.1,extremal_mask,0.01,0.01,0.9213,0.1351,0.3337,-0.2469,-0.06248
42,2,Zeros,0.2,extremal_mask,0.01,0.01,0.9282,0.1365,0.362,-0.2752,-0.06491
42,2,Zeros,0.3,extremal_mask,0.01,0.01,0.9371,0.1374,0.3671,-0.2803,-0.06467
42,2,Zeros,0.4,extremal_mask,0.01,0.01,0.9445,0.1392,0.3705,-0.2837,-0.06401
42,2,Zeros,0.5,extremal_mask,0.01,0.01,0.9504,0.1386,0.3698,-0.283,-0.06294
42,2,Zeros,0.6,extremal_mask,0.01,0.01,0.9522,0.131,0.3571,-0.2703,-0.061
42,4,Average,0.1,extremal_mask,0.01,0.01,0.9767,0.0124,0.1372,-0.02161,-0.005465
42,4,Average,0.2,extremal_mask,0.01,0.01,0.9754,0.01382,0.1398,-0.02415,-0.007191
42,4,Average,0.3,extremal_mask,0.01,0.01,0.9756,0.0145,0.1407,-0.02504,-0.0079
42,4,Average,0.4,extremal_mask,0.01,0.01,0.9739,0.01579,0.1421,-0.0265,-0.008971
42,4,Average,0.5,extremal_mask,0.01,0.01,0.9735,0.01648,0.1428,-0.02722,-0.009526
42,4,Average,0.6,extremal_mask,0.01,0.01,0.9737,0.01616,0.1422,-0.02655,-0.008585
42,4,Zeros,0.1,extremal_mask,0.01,0.01,0.9191,0.08903,0.332,-0.2164,-0.07167
42,4,Zeros,0.2,extremal_mask,0.01,0.01,0.923,0.09323,0.3648,-0.2492,-0.0726
42,4,Zeros,0.3,extremal_mask,0.01,0.01,0.9234,0.09787,0.3806,-0.265,-0.07155
42,4,Zeros,0.4,extremal_mask,0.01,0.01,0.9278,0.1038,0.3949,-0.2792,-0.07062
42,4,Zeros,0.5,extremal_mask,0.01,0.01,0.9324,0.1056,0.4005,-0.2849,-0.0686
42,4,Zeros,0.6,extremal_mask,0.01,0.01,0.9402,0.09278,0.3755,-0.2599,-0.06241
42,1,Average,0.1,extremal_mask,0.01,0.01,0.9839,0.00963,0.1145,-0.0155,-0.005112
42,1,Average,0.2,extremal_mask,0.01,0.01,0.9826,0.01069,0.1164,-0.01737,-0.006195
42,1,Average,0.3,extremal_mask,0.01,0.01,0.9819,0.01152,0.1174,-0.01839,-0.007072
42,1,Average,0.4,extremal_mask,0.01,0.01,0.9811,0.01241,0.1184,-0.01941,-0.007745
42,1,Average,0.5,extremal_mask,0.01,0.01,0.9815,0.0129,0.1189,-0.01991,-0.007989
42,1,Average,0.6,extremal_mask,0.01,0.01,0.9809,0.01262,0.1186,-0.01953,-0.007304
42,1,Zeros,0.1,extremal_mask,0.01,0.01,0.9363,0.07925,0.2667,-0.1677,-0.06099
42,1,Zeros,0.2,extremal_mask,0.01,0.01,0.9404,0.08304,0.2855,-0.1865,-0.06117
42,1,Zeros,0.3,extremal_mask,0.01,0.01,0.9391,0.09001,0.2959,-0.1969,-0.0601
42,1,Zeros,0.4,extremal_mask,0.01,0.01,0.9408,0.0981,0.3088,-0.2098,-0.0589
42,1,Zeros,0.5,extremal_mask,0.01,0.01,0.9426,0.1029,0.3161,-0.2171,-0.05724
42,1,Zeros,0.6,extremal_mask,0.01,0.01,0.9474,0.09417,0.301,-0.202,-0.05207
42,1,Average,0.1,extremal_mask,0.01,0.1,0.9806,0.02997,0.1321,-0.03951,-0.02057
42,1,Average,0.2,extremal_mask,0.01,0.1,0.9791,0.03169,0.1366,-0.04406,-0.02184
42,1,Average,0.3,extremal_mask,0.01,0.1,0.9798,0.03136,0.1363,-0.04373,-0.0219
42,1,Average,0.4,extremal_mask,0.01,0.1,0.9793,0.03094,0.1358,-0.04325,-0.02185
42,1,Average,0.5,extremal_mask,0.01,0.1,0.98,0.03041,0.1353,-0.04274,-0.02153
42,1,Average,0.6,extremal_mask,0.01,0.1,0.9796,0.0289,0.1332,-0.04062,-0.02041
42,1,Zeros,0.1,extremal_mask,0.01,0.1,0.8763,0.2486,0.5055,-0.413,-0.07421
42,1,Zeros,0.2,extremal_mask,0.01,0.1,0.8817,0.2552,0.5446,-0.452,-0.07697
42,1,Zeros,0.3,extremal_mask,0.01,0.1,0.89,0.2577,0.5503,-0.4577,-0.07683
42,1,Zeros,0.4,extremal_mask,0.01,0.1,0.8967,0.2602,0.5561,-0.4635,-0.07651
42,1,Zeros,0.5,extremal_mask,0.01,0.1,0.9052,0.2606,0.5566,-0.464,-0.07605
42,1,Zeros,0.6,extremal_mask,0.01,0.1,0.9154,0.2483,0.531,-0.4385,-0.07514
42,4,Average,0.1,extremal_mask,0.01,0.1,0.975,0.03707,0.1477,-0.0489,-0.02612
42,4,Average,0.2,extremal_mask,0.01,0.1,0.9711,0.03954,0.1534,-0.05459,-0.0282
42,4,Average,0.3,extremal_mask,0.01,0.1,0.9702,0.03995,0.1554,-0.05659,-0.02849
42,4,Average,0.4,extremal_mask,0.01,0.1,0.9685,0.03926,0.1551,-0.05632,-0.02806
42,4,Average,0.5,extremal_mask,0.01,0.1,0.9698,0.03828,0.1539,-0.05507,-0.02748
42,4,Average,0.6,extremal_mask,0.01,0.1,0.9711,0.03622,0.1512,-0.05236,-0.02592
42,4,Zeros,0.1,extremal_mask,0.01,0.1,0.8612,0.2654,0.4985,-0.3997,-0.06472
42,4,Zeros,0.2,extremal_mask,0.01,0.1,0.8756,0.2675,0.5378,-0.439,-0.07747
42,4,Zeros,0.3,extremal_mask,0.01,0.1,0.893,0.2655,0.5497,-0.4509,-0.08218
42,4,Zeros,0.4,extremal_mask,0.01,0.1,0.9147,0.2623,0.5513,-0.4525,-0.08281
42,4,Zeros,0.5,extremal_mask,0.01,0.1,0.9265,0.2581,0.5488,-0.45,-0.0825
42,4,Zeros,0.6,extremal_mask,0.01,0.1,0.9404,0.2406,0.5213,-0.4225,-0.08168
42,0,Average,0.1,extremal_mask,0.01,0.1,0.9789,0.02924,0.1379,-0.03873,-0.02366
42,0,Average,0.2,extremal_mask,0.01,0.1,0.9752,0.03126,0.1425,-0.04335,-0.02557
42,0,Average,0.3,extremal_mask,0.01,0.1,0.9741,0.03098,0.1434,-0.0442,-0.02551
42,0,Average,0.4,extremal_mask,0.01,0.1,0.9743,0.03033,0.1429,-0.04373,-0.02511
42,0,Average,0.5,extremal_mask,0.01,0.1,0.9737,0.02941,0.1418,-0.04268,-0.0244
42,0,Average,0.6,extremal_mask,0.01,0.1,0.9746,0.02749,0.1392,-0.03999,-0.02271
42,0,Zeros,0.1,extremal_mask,0.01,0.1,0.8873,0.2182,0.431,-0.3318,-0.06743
42,0,Zeros,0.2,extremal_mask,0.01,0.1,0.893,0.2217,0.4758,-0.3767,-0.07926
42,0,Zeros,0.3,extremal_mask,0.01,0.1,0.9087,0.2201,0.4908,-0.3917,-0.08202
42,0,Zeros,0.4,extremal_mask,0.01,0.1,0.9187,0.2181,0.49,-0.3908,-0.08196
42,0,Zeros,0.5,extremal_mask,0.01,0.1,0.9293,0.2141,0.4831,-0.384,-0.08124
42,0,Zeros,0.6,extremal_mask,0.01,0.1,0.9367,0.2016,0.4625,-0.3633,-0.07989
42,3,Average,0.1,extremal_mask,0.01,0.1,0.9817,0.03223,0.1335,-0.04258,-0.01974
42,3,Average,0.2,extremal_mask,0.01,0.1,0.9793,0.03411,0.1376,-0.04662,-0.02125
42,3,Average,0.3,extremal_mask,0.01,0.1,0.978,0.03408,0.138,-0.04701,-0.02148
42,3,Average,0.4,extremal_mask,0.01,0.1,0.9772,0.0336,0.1373,-0.04637,-0.02124
42,3,Average,0.5,extremal_mask,0.01,0.1,0.9778,0.03304,0.1366,-0.04564,-0.02085
42,3,Average,0.6,extremal_mask,0.01,0.1,0.9783,0.03169,0.1348,-0.04388,-0.01985
42,3,Zeros,0.1,extremal_mask,0.01,0.1,0.905,0.2241,0.4347,-0.3437,-0.07154
42,3,Zeros,0.2,extremal_mask,0.01,0.1,0.9106,0.2286,0.4787,-0.3877,-0.07695
42,3,Zeros,0.3,extremal_mask,0.01,0.1,0.923,0.2275,0.4841,-0.3932,-0.07724
42,3,Zeros,0.4,extremal_mask,0.01,0.1,0.9337,0.2259,0.4834,-0.3925,-0.07698
42,3,Zeros,0.5,extremal_mask,0.01,0.1,0.9421,0.2229,0.4796,-0.3887,-0.07645
42,3,Zeros,0.6,extremal_mask,0.01,0.1,0.9515,0.2067,0.4542,-0.3632,-0.07546
42,2,Average,0.1,extremal_mask,0.01,0.1,0.9793,0.02936,0.1348,-0.03978,-0.02163
42,2,Average,0.2,extremal_mask,0.01,0.1,0.9743,0.03171,0.1405,-0.04546,-0.02355
42,2,Average,0.3,extremal_mask,0.01,0.1,0.9737,0.03227,0.1422,-0.04716,-0.02397
42,2,Average,0.4,extremal_mask,0.01,0.1,0.9739,0.03191,0.142,-0.04697,-0.02367
42,2,Average,0.5,extremal_mask,0.01,0.1,0.9761,0.03086,0.1406,-0.04549,-0.02308
42,2,Average,0.6,extremal_mask,0.01,0.1,0.9778,0.02857,0.1373,-0.04224,-0.02139
42,2,Zeros,0.1,extremal_mask,0.01,0.1,0.8971,0.2169,0.4285,-0.3334,-0.06884
42,2,Zeros,0.2,extremal_mask,0.01,0.1,0.903,0.2222,0.4785,-0.3834,-0.0774
42,2,Zeros,0.3,extremal_mask,0.01,0.1,0.9134,0.2252,0.4985,-0.4035,-0.07899
42,2,Zeros,0.4,extremal_mask,0.01,0.1,0.9213,0.228,0.5052,-0.4101,-0.07891
42,2,Zeros,0.5,extremal_mask,0.01,0.1,0.9282,0.2282,0.5049,-0.4098,-0.07834
42,2,Zeros,0.6,extremal_mask,0.01,0.1,0.9395,0.2115,0.4775,-0.3824,-0.07722
42,1,Average,0.1,extremal_mask,0.01,1.0,0.9835,0.03406,0.1374,-0.04327,-0.02305
42,1,Average,0.2,extremal_mask,0.01,1.0,0.98,0.03615,0.1418,-0.04768,-0.025
42,1,Average,0.3,extremal_mask,0.01,1.0,0.9785,0.03642,0.1433,-0.04913,-0.02565
42,1,Average,0.4,extremal_mask,0.01,1.0,0.9769,0.03598,0.1433,-0.04916,-0.02561
42,1,Average,0.5,extremal_mask,0.01,1.0,0.978,0.03511,0.1425,-0.04834,-0.02527
42,1,Average,0.6,extremal_mask,0.01,1.0,0.9787,0.03285,0.1396,-0.04544,-0.02372
42,1,Zeros,0.1,extremal_mask,0.01,1.0,0.8954,0.2559,0.4625,-0.3683,-0.06591
42,1,Zeros,0.2,extremal_mask,0.01,1.0,0.9032,0.2601,0.5118,-0.4176,-0.0762
42,1,Zeros,0.3,extremal_mask,0.01,1.0,0.9143,0.256,0.5195,-0.4254,-0.07942
42,1,Zeros,0.4,extremal_mask,0.01,1.0,0.9274,0.2512,0.517,-0.4229,-0.08001
42,1,Zeros,0.5,extremal_mask,0.01,1.0,0.9378,0.2457,0.5081,-0.4139,-0.07991
42,1,Zeros,0.6,extremal_mask,0.01,1.0,0.948,0.2284,0.4796,-0.3854,-0.07927
42,0,Average,0.1,extremal_mask,0.01,1.0,0.9793,0.03545,0.1458,-0.0463,-0.026
42,0,Average,0.2,extremal_mask,0.01,1.0,0.9759,0.03847,0.1517,-0.05224,-0.02832
42,0,Average,0.3,extremal_mask,0.01,1.0,0.9735,0.03907,0.1544,-0.05492,-0.02891
42,0,Average,0.4,extremal_mask,0.01,1.0,0.9719,0.0385,0.1549,-0.05537,-0.02862
42,0,Average,0.5,extremal_mask,0.01,1.0,0.9728,0.03721,0.1536,-0.05414,-0.02791
42,0,Average,0.6,extremal_mask,0.01,1.0,0.9741,0.03461,0.1502,-0.05066,-0.02617
42,0,Zeros,0.1,extremal_mask,0.01,1.0,0.8699,0.2538,0.4638,-0.3643,-0.06432
42,0,Zeros,0.2,extremal_mask,0.01,1.0,0.8739,0.2649,0.5119,-0.4124,-0.07664
42,0,Zeros,0.3,extremal_mask,0.01,1.0,0.8867,0.2624,0.5254,-0.426,-0.08274
42,0,Zeros,0.4,extremal_mask,0.01,1.0,0.8978,0.2579,0.5249,-0.4254,-0.08442
42,0,Zeros,0.5,extremal_mask,0.01,1.0,0.9093,0.252,0.5171,-0.4176,-0.08448
42,0,Zeros,0.6,extremal_mask,0.01,1.0,0.9247,0.2333,0.4877,-0.3882,-0.08354
42,2,Average,0.1,extremal_mask,0.01,1.0,0.9815,0.03823,0.1394,-0.04957,-0.02453
42,2,Average,0.2,extremal_mask,0.01,1.0,0.9765,0.04141,0.1459,-0.05606,-0.02676
42,2,Average,0.3,extremal_mask,0.01,1.0,0.9763,0.04138,0.1467,-0.05685,-0.02686
42,2,Average,0.4,extremal_mask,0.01,1.0,0.9769,0.04046,0.1457,-0.05586,-0.02644
42,2,Average,0.5,extremal_mask,0.01,1.0,0.9769,0.03911,0.144,-0.0542,-0.02585
42,2,Average,0.6,extremal_mask,0.01,1.0,0.9785,0.03641,0.1403,-0.0505,-0.0242
42,2,Zeros,0.1,extremal_mask,0.01,1.0,0.9074,0.2552,0.456,-0.3662,-0.06814
42,2,Zeros,0.2,extremal_mask,0.01,1.0,0.9032,0.2687,0.5184,-0.4286,-0.07548
42,2,Zeros,0.3,extremal_mask,0.01,1.0,0.9106,0.2728,0.5353,-0.4455,-0.07645
42,2,Zeros,0.4,extremal_mask,0.01,1.0,0.9167,0.2763,0.5443,-0.4545,-0.07648
42,2,Zeros,0.5,extremal_mask,0.01,1.0,0.9226,0.278,0.5463,-0.4565,-0.07623
42,2,Zeros,0.6,extremal_mask,0.01,1.0,0.9361,0.265,0.5238,-0.434,-0.07549
42,4,Average,0.1,extremal_mask,0.01,1.0,0.9767,0.03938,0.1525,-0.0509,-0.02598
42,4,Average,0.2,extremal_mask,0.01,1.0,0.9732,0.04209,0.158,-0.05639,-0.02814
42,4,Average,0.3,extremal_mask,0.01,1.0,0.9713,0.04255,0.16,-0.05842,-0.02875
42,4,Average,0.4,extremal_mask,0.01,1.0,0.9724,0.04223,0.1604,-0.05872,-0.02871
42,4,Average,0.5,extremal_mask,0.01,1.0,0.9722,0.04149,0.1596,-0.05796,-0.02829
42,4,Average,0.6,extremal_mask,0.01,1.0,0.9724,0.03879,0.1557,-0.0541,-0.02647
42,4,Zeros,0.1,extremal_mask,0.01,1.0,0.8528,0.2737,0.4979,-0.3963,-0.07025
42,4,Zeros,0.2,extremal_mask,0.01,1.0,0.8669,0.2803,0.5612,-0.4596,-0.08157
42,4,Zeros,0.3,extremal_mask,0.01,1.0,0.8839,0.2784,0.5849,-0.4833,-0.08489
42,4,Zeros,0.4,extremal_mask,0.01,1.0,0.9028,0.2755,0.5901,-0.4885,-0.08535
42,4,Zeros,0.5,extremal_mask,0.01,1.0,0.9165,0.2712,0.5846,-0.4829,-0.08517
42,4,Zeros,0.6,extremal_mask,0.01,1.0,0.9339,0.2471,0.5448,-0.4432,-0.08446
42,3,Average,0.1,extremal_mask,0.01,1.0,0.9798,0.03546,0.1431,-0.04632,-0.02263
42,3,Average,0.2,extremal_mask,0.01,1.0,0.9752,0.03807,0.1485,-0.05173,-0.02474
42,3,Average,0.3,extremal_mask,0.01,1.0,0.9739,0.03846,0.1504,-0.05368,-0.02535
42,3,Average,0.4,extremal_mask,0.01,1.0,0.9737,0.03786,0.1501,-0.05334,-0.02517
42,3,Average,0.5,extremal_mask,0.01,1.0,0.975,0.03692,0.1491,-0.05235,-0.02469
42,3,Average,0.6,extremal_mask,0.01,1.0,0.9761,0.03466,0.1462,-0.04942,-0.02319
42,3,Zeros,0.1,extremal_mask,0.01,1.0,0.8552,0.2836,0.5092,-0.4124,-0.06911
42,3,Zeros,0.2,extremal_mask,0.01,1.0,0.8599,0.295,0.5661,-0.4693,-0.07954
42,3,Zeros,0.3,extremal_mask,0.01,1.0,0.8715,0.294,0.5809,-0.4842,-0.0823
42,3,Zeros,0.4,extremal_mask,0.01,1.0,0.8884,0.2915,0.5798,-0.483,-0.08264
42,3,Zeros,0.5,extremal_mask,0.01,1.0,0.9037,0.2884,0.5739,-0.4772,-0.0824
42,3,Zeros,0.6,extremal_mask,0.01,1.0,0.9284,0.2694,0.5403,-0.4435,-0.08154
42,0,Average,0.1,extremal_mask,0.01,10.0,0.9726,0.03438,0.154,-0.04609,-0.02529
42,0,Average,0.2,extremal_mask,0.01,10.0,0.9685,0.03731,0.16,-0.05211,-0.02775
