Seed,Preservation,Deletion,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,True,False,1,Average,0.1,extremal_mask,1.0,1.0,0.9883,0.008868,0.1036,-0.01471,-0.006778
42,True,False,1,Average,0.2,extremal_mask,1.0,1.0,0.988,0.009204,0.1041,-0.01524,-0.007415
42,True,False,1,Average,0.3,extremal_mask,1.0,1.0,0.9874,0.009248,0.1043,-0.01545,-0.007541
42,True,False,1,Average,0.4,extremal_mask,1.0,1.0,0.9867,0.009482,0.1046,-0.01577,-0.007702
42,True,False,1,Average,0.5,extremal_mask,1.0,1.0,0.9859,0.00962,0.1048,-0.01593,-0.007785
42,True,False,1,Average,0.6,extremal_mask,1.0,1.0,0.9856,0.009366,0.1046,-0.01571,-0.007311
42,True,False,1,Zeros,0.1,extremal_mask,1.0,1.0,0.9485,0.069,0.2232,-0.1344,-0.05944
42,True,False,1,Zeros,0.2,extremal_mask,1.0,1.0,0.9454,0.07044,0.2328,-0.1439,-0.05832
42,True,False,1,Zeros,0.3,extremal_mask,1.0,1.0,0.9465,0.07183,0.2421,-0.1532,-0.0564
42,True,False,1,Zeros,0.4,extremal_mask,1.0,1.0,0.9491,0.07483,0.2538,-0.165,-0.05486
42,True,False,1,Zeros,0.5,extremal_mask,1.0,1.0,0.9498,0.07641,0.2632,-0.1743,-0.05319
42,True,False,1,Zeros,0.6,extremal_mask,1.0,1.0,0.9511,0.07176,0.2579,-0.169,-0.05016
42,True,False,3,Average,0.1,extremal_mask,1.0,1.0,0.9826,0.01939,0.1288,-0.02864,-0.01456
42,True,False,3,Average,0.2,extremal_mask,1.0,1.0,0.9811,0.01943,0.1293,-0.02915,-0.01504
42,True,False,3,Average,0.3,extremal_mask,1.0,1.0,0.9804,0.01915,0.1288,-0.02866,-0.01488
42,True,False,3,Average,0.4,extremal_mask,1.0,1.0,0.9806,0.01902,0.1285,-0.02843,-0.0148
42,True,False,3,Average,0.5,extremal_mask,1.0,1.0,0.9809,0.01853,0.1279,-0.02781,-0.0143
42,True,False,3,Average,0.6,extremal_mask,1.0,1.0,0.9809,0.01793,0.127,-0.02692,-0.01341
42,True,False,3,Zeros,0.1,extremal_mask,1.0,1.0,0.9291,0.1389,0.3528,-0.2527,-0.07768
42,True,False,3,Zeros,0.2,extremal_mask,1.0,1.0,0.9391,0.1411,0.3667,-0.2666,-0.07789
42,True,False,3,Zeros,0.3,extremal_mask,1.0,1.0,0.9465,0.1418,0.3717,-0.2715,-0.07649
42,True,False,3,Zeros,0.4,extremal_mask,1.0,1.0,0.9502,0.1428,0.3758,-0.2757,-0.07472
42,True,False,3,Zeros,0.5,extremal_mask,1.0,1.0,0.9528,0.1401,0.3736,-0.2734,-0.07266
42,True,False,3,Zeros,0.6,extremal_mask,1.0,1.0,0.9569,0.1296,0.3603,-0.2602,-0.06986
42,True,False,0,Average,0.1,extremal_mask,1.0,1.0,0.9848,0.01002,0.1192,-0.01582,-0.008028
42,True,False,0,Average,0.2,extremal_mask,1.0,1.0,0.9848,0.01017,0.1195,-0.01617,-0.008164
42,True,False,0,Average,0.3,extremal_mask,1.0,1.0,0.9837,0.0101,0.1196,-0.01629,-0.008222
42,True,False,0,Average,0.4,extremal_mask,1.0,1.0,0.9828,0.01021,0.12,-0.01662,-0.008354
42,True,False,0,Average,0.5,extremal_mask,1.0,1.0,0.9828,0.01017,0.1202,-0.01684,-0.008195
42,True,False,0,Average,0.6,extremal_mask,1.0,1.0,0.9839,0.009696,0.1198,-0.0165,-0.007548
42,True,False,0,Zeros,0.1,extremal_mask,1.0,1.0,0.9332,0.07846,0.2465,-0.1431,-0.05828
42,True,False,0,Zeros,0.2,extremal_mask,1.0,1.0,0.9348,0.07808,0.2531,-0.1497,-0.05701
42,True,False,0,Zeros,0.3,extremal_mask,1.0,1.0,0.9343,0.07866,0.2615,-0.1582,-0.05498
42,True,False,0,Zeros,0.4,extremal_mask,1.0,1.0,0.9367,0.07921,0.2697,-0.1663,-0.05351
42,True,False,0,Zeros,0.5,extremal_mask,1.0,1.0,0.9387,0.07624,0.2732,-0.1698,-0.05096
42,True,False,0,Zeros,0.6,extremal_mask,1.0,1.0,0.9398,0.06669,0.2642,-0.1608,-0.04634
42,True,False,2,Average,0.1,extremal_mask,1.0,1.0,0.9843,0.01056,0.1075,-0.0183,-0.007985
42,True,False,2,Average,0.2,extremal_mask,1.0,1.0,0.9837,0.01091,0.1083,-0.01911,-0.008378
42,True,False,2,Average,0.3,extremal_mask,1.0,1.0,0.983,0.01087,0.1081,-0.01894,-0.008542
42,True,False,2,Average,0.4,extremal_mask,1.0,1.0,0.983,0.01097,0.1082,-0.01897,-0.008582
42,True,False,2,Average,0.5,extremal_mask,1.0,1.0,0.983,0.01099,0.1082,-0.01895,-0.008605
42,True,False,2,Average,0.6,extremal_mask,1.0,1.0,0.9826,0.01035,0.1072,-0.01803,-0.007804
42,True,False,2,Zeros,0.1,extremal_mask,1.0,1.0,0.9595,0.07037,0.2372,-0.148,-0.05994
42,True,False,2,Zeros,0.2,extremal_mask,1.0,1.0,0.9632,0.07118,0.248,-0.1588,-0.05972
42,True,False,2,Zeros,0.3,extremal_mask,1.0,1.0,0.9645,0.07325,0.2545,-0.1653,-0.05794
42,True,False,2,Zeros,0.4,extremal_mask,1.0,1.0,0.9676,0.07434,0.2572,-0.168,-0.056
42,True,False,2,Zeros,0.5,extremal_mask,1.0,1.0,0.9672,0.07347,0.2576,-0.1684,-0.05334
42,True,False,2,Zeros,0.6,extremal_mask,1.0,1.0,0.9669,0.06669,0.2494,-0.1602,-0.04934
42,True,False,4,Average,0.1,extremal_mask,1.0,1.0,0.9785,0.02406,0.1356,-0.03499,-0.02024
42,True,False,4,Average,0.2,extremal_mask,1.0,1.0,0.9769,0.02437,0.1369,-0.03622,-0.02048
42,True,False,4,Average,0.3,extremal_mask,1.0,1.0,0.9772,0.02374,0.136,-0.0354,-0.01991
42,True,False,4,Average,0.4,extremal_mask,1.0,1.0,0.9789,0.02286,0.1349,-0.03424,-0.01923
42,True,False,4,Average,0.5,extremal_mask,1.0,1.0,0.9778,0.02206,0.1337,-0.03306,-0.01855
42,True,False,4,Average,0.6,extremal_mask,1.0,1.0,0.9776,0.02087,0.1319,-0.03131,-0.01722
42,True,False,4,Zeros,0.1,extremal_mask,1.0,1.0,0.9241,0.1624,0.3848,-0.2841,-0.08031
42,True,False,4,Zeros,0.2,extremal_mask,1.0,1.0,0.9365,0.1624,0.4026,-0.3019,-0.08196
42,True,False,4,Zeros,0.3,extremal_mask,1.0,1.0,0.943,0.1609,0.4059,-0.3053,-0.08108
42,True,False,4,Zeros,0.4,extremal_mask,1.0,1.0,0.9489,0.1595,0.4069,-0.3062,-0.0798
42,True,False,4,Zeros,0.5,extremal_mask,1.0,1.0,0.9522,0.1553,0.4029,-0.3023,-0.07819
