Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,0,Average,0.1,deep_lift,1.0,1.0,0.9902,-0.001307,0.09076,-2.054e-05,0.002174
42,0,Average,0.1,dyna_mask,1.0,1.0,0.9943,5.645e-05,0.09177,-0.001029,0.001482
42,0,Average,0.1,extremal_mask,1.0,1.0,0.9759,0.01922,0.1242,-0.02995,-0.01668
42,0,Average,0.1,integrated_gradients,1.0,1.0,0.9906,-0.0008432,0.09094,-0.0002032,0.001827
42,0,Average,0.1,gradient_shap,1.0,1.0,0.9859,-0.002221,0.0979,-8.093e-05,0.001729
42,0,Average,0.1,lime,1.0,1.0,0.9965,-0.0006449,0.09012,0.0006138,0.001731
42,0,Average,0.1,augmented_occlusion,1.0,1.0,0.9902,0.0002785,0.09288,-0.002138,0.0005339
42,0,Average,0.1,occlusion,1.0,1.0,0.9906,-0.001267,0.09178,-0.001042,0.002362
42,0,Average,0.1,retain,1.0,1.0,0.99,-0.003287,0.0893,0.001439,0.005199
42,0,Average,0.2,deep_lift,1.0,1.0,0.988,-0.001286,0.0919,-0.001162,0.002053
42,0,Average,0.2,dyna_mask,1.0,1.0,0.9902,-0.0007196,0.09155,-0.0008119,0.0031
42,0,Average,0.2,extremal_mask,1.0,1.0,0.9759,0.01975,0.1261,-0.03187,-0.01734
42,0,Average,0.2,integrated_gradients,1.0,1.0,0.9878,-0.000923,0.092,-0.001258,0.001843
42,0,Average,0.2,gradient_shap,1.0,1.0,0.983,-0.002823,0.09865,-0.0008269,0.002271
42,0,Average,0.2,lime,1.0,1.0,0.9961,-0.001296,0.08946,0.001276,0.002
42,0,Average,0.2,augmented_occlusion,1.0,1.0,0.9878,0.001517,0.09558,-0.004846,-0.0007893
42,0,Average,0.2,occlusion,1.0,1.0,0.9878,-0.001556,0.09224,-0.0015,0.002566
42,0,Average,0.2,retain,1.0,1.0,0.988,-0.004269,0.089,0.001736,0.006371
42,0,Average,0.3,deep_lift,1.0,1.0,0.9876,-0.0008638,0.09325,-0.002513,0.00153
42,0,Average,0.3,dyna_mask,1.0,1.0,0.9883,-0.001213,0.09143,-0.0006909,0.004283
42,0,Average,0.3,extremal_mask,1.0,1.0,0.9759,0.01883,0.1251,-0.0308,-0.01689
42,0,Average,0.3,integrated_gradients,1.0,1.0,0.9874,-0.0005524,0.09358,-0.002839,0.00146
42,0,Average,0.3,gradient_shap,1.0,1.0,0.9824,-0.003163,0.09916,-0.001335,0.002561
42,0,Average,0.3,lime,1.0,1.0,0.9935,-0.001407,0.08993,0.000811,0.002249
42,0,Average,0.3,augmented_occlusion,1.0,1.0,0.9861,0.001671,0.09626,-0.005527,-0.001115
