Seed,Noise,Activations,Explainer,Purity,Std_0,Std_1
12,0.05,relu,acc,1.0
12,0.05,relu,geodesic_integrated_gradients_5,0.9872,7.206e-05,5.891e-05
12,0.05,relu,geodesic_integrated_gradients_10,0.9872,7.205e-05,5.878e-05
12,0.05,relu,geodesic_integrated_gradients_15,0.9872,7.205e-05,5.875e-05
12,0.05,relu,enhanced_integrated_gradients_5,0.9872,0.0515,0.0002105
12,0.05,relu,enhanced_integrated_gradients_10,0.9872,0.1431,0.0002436
12,0.05,relu,enhanced_integrated_gradients_15,0.9872,0.3991,0.0002342
12,0.05,relu,gradient_shap,0.9176,7.034,5.451
12,0.05,relu,integrated_gradients,0.944,6.219,4.718
12,0.05,relu,smooth_grad,0.9472,5.702,4.775
12,0.1,relu,acc,0.998
12,0.1,relu,geodesic_integrated_gradients_5,0.9912,0.1213,0.005797
12,0.1,relu,geodesic_integrated_gradients_10,0.9912,0.1213,0.00579
12,0.1,relu,geodesic_integrated_gradients_15,0.9912,0.1213,0.00579
12,0.1,relu,enhanced_integrated_gradients_5,0.9912,0.1515,0.0672
12,0.1,relu,enhanced_integrated_gradients_10,0.9912,0.2098,0.0126
12,0.1,relu,enhanced_integrated_gradients_15,0.9912,0.3222,0.02938
12,0.1,relu,gradient_shap,0.9808,15.0,3.162
12,0.1,relu,integrated_gradients,0.9888,14.73,2.779
12,0.1,relu,smooth_grad,0.9904,14.1,2.779
12,0.15,relu,acc,0.994
12,0.15,relu,geodesic_integrated_gradients_5,0.9856,0.08673,0.1101
12,0.15,relu,geodesic_integrated_gradients_10,0.9856,0.08891,0.09567
12,0.15,relu,geodesic_integrated_gradients_15,0.9864,0.09237,0.09565
12,0.15,relu,enhanced_integrated_gradients_5,0.9856,0.1232,0.209
12,0.15,relu,enhanced_integrated_gradients_10,0.8048,0.1082,2.317
12,0.15,relu,enhanced_integrated_gradients_15,0.824,0.1086,2.566
12,0.15,relu,gradient_shap,0.8488,8.912,2.626
12,0.15,relu,integrated_gradients,0.8456,8.792,2.41
12,0.15,relu,smooth_grad,0.8464,8.265,2.303
12,0.2,relu,acc,0.974
12,0.2,relu,geodesic_integrated_gradients_5,0.9696,0.1522,0.2306
12,0.2,relu,geodesic_integrated_gradients_10,0.972,0.1415,0.2307
12,0.2,relu,geodesic_integrated_gradients_15,0.972,0.138,0.2293
12,0.2,relu,enhanced_integrated_gradients_5,0.856,0.2735,2.168
12,0.2,relu,enhanced_integrated_gradients_10,0.8688,1.263,1.354
12,0.2,relu,enhanced_integrated_gradients_15,0.8536,1.469,1.321
12,0.2,relu,gradient_shap,0.8456,4.643,1.708
12,0.2,relu,integrated_gradients,0.8544,4.55,1.48
12,0.2,relu,smooth_grad,0.8488,4.413,1.467
12,0.25,relu,acc,0.9472
12,0.25,relu,geodesic_integrated_gradients_5,0.88,0.2984,0.2403
12,0.25,relu,geodesic_integrated_gradients_10,0.8968,0.2962,0.2335
12,0.25,relu,geodesic_integrated_gradients_15,0.8968,0.2987,0.2323
12,0.25,relu,enhanced_integrated_gradients_5,0.5472,1.907,0.9161
12,0.25,relu,enhanced_integrated_gradients_10,0.5536,1.784,0.9877
12,0.25,relu,enhanced_integrated_gradients_15,0.5504,1.832,1.027
12,0.25,relu,gradient_shap,0.6216,3.202,1.281
12,0.25,relu,integrated_gradients,0.6176,3.108,1.087
12,0.25,relu,smooth_grad,0.616,3.019,1.08
12,0.3,relu,acc,0.9196
12,0.3,relu,geodesic_integrated_gradients_5,0.06,0.362,0.2945
12,0.3,relu,geodesic_integrated_gradients_10,0.0632,0.3461,0.2866
12,0.3,relu,geodesic_integrated_gradients_15,0.0608,0.3457,0.2792
12,0.3,relu,enhanced_integrated_gradients_5,0.5808,2.22,0.9575
12,0.3,relu,enhanced_integrated_gradients_10,0.5976,1.958,1.226
12,0.3,relu,enhanced_integrated_gradients_15,0.6024,1.717,1.058
12,0.3,relu,gradient_shap,0.584,2.487,1.048
12,0.3,relu,integrated_gradients,0.5888,2.409,0.978
12,0.3,relu,smooth_grad,0.5904,2.345,0.9667
24,0.05,relu,acc,1.0
24,0.05,relu,geodesic_integrated_gradients_5,1.0,6.549e-05,5.485e-05
24,0.05,relu,geodesic_integrated_gradients_10,1.0,6.551e-05,5.472e-05
24,0.05,relu,geodesic_integrated_gradients_15,1.0,6.561e-05,5.469e-05
24,0.05,relu,enhanced_integrated_gradients_5,1.0,0.1504,6.126e-05
24,0.05,relu,enhanced_integrated_gradients_10,1.0,0.2111,0.0001456
24,0.05,relu,enhanced_integrated_gradients_15,1.0,0.4238,0.0004494
24,0.05,relu,gradient_shap,0.9768,9.339,4.982
24,0.05,relu,integrated_gradients,1.0,8.279,4.292
24,0.05,relu,smooth_grad,1.0,7.59,4.248
24,0.1,relu,acc,0.9992
24,0.1,relu,geodesic_integrated_gradients_5,1.0,0.03374,0.02534
24,0.1,relu,geodesic_integrated_gradients_10,1.0,0.03374,0.02535
24,0.1,relu,geodesic_integrated_gradients_15,1.0,0.03374,0.02548
24,0.1,relu,enhanced_integrated_gradients_5,1.0,0.0814,0.02963
24,0.1,relu,enhanced_integrated_gradients_10,1.0,0.4004,0.02709
24,0.1,relu,enhanced_integrated_gradients_15,1.0,0.4403,0.02746
24,0.1,relu,gradient_shap,0.9248,7.323,5.603
24,0.1,relu,integrated_gradients,0.9544,7.03,5.032
24,0.1,relu,smooth_grad,0.9584,6.746,4.842
24,0.15,relu,acc,0.9872
24,0.15,relu,geodesic_integrated_gradients_5,1.0,0.2047,0.1956
24,0.15,relu,geodesic_integrated_gradients_10,1.0,0.2155,0.195
24,0.15,relu,geodesic_integrated_gradients_15,1.0,0.2288,0.195
24,0.15,relu,enhanced_integrated_gradients_5,0.9936,0.3089,0.8066
24,0.15,relu,enhanced_integrated_gradients_10,0.9928,0.2478,0.8873
24,0.15,relu,enhanced_integrated_gradients_15,0.9944,0.562,0.4649
24,0.15,relu,gradient_shap,0.9224,4.077,3.201
24,0.15,relu,integrated_gradients,0.956,3.859,2.938
24,0.15,relu,smooth_grad,0.96,3.525,2.936
24,0.2,relu,acc,0.966
24,0.2,relu,geodesic_integrated_gradients_5,0.9896,0.2924,0.2739
24,0.2,relu,geodesic_integrated_gradients_10,0.9896,0.3268,0.2703
24,0.2,relu,geodesic_integrated_gradients_15,0.9904,0.306,0.2697
24,0.2,relu,enhanced_integrated_gradients_5,0.9856,0.3577,0.4258
24,0.2,relu,enhanced_integrated_gradients_10,0.9872,0.3278,0.3915
24,0.2,relu,enhanced_integrated_gradients_15,0.9656,1.412,1.2
24,0.2,relu,gradient_shap,0.9416,5.022,1.416
24,0.2,relu,integrated_gradients,0.972,5.029,1.339
24,0.2,relu,smooth_grad,0.9736,4.865,1.298
24,0.25,relu,acc,0.9396
24,0.25,relu,geodesic_integrated_gradients_5,0.968,0.2302,0.3592
24,0.25,relu,geodesic_integrated_gradients_10,0.9656,0.2101,0.354
24,0.25,relu,geodesic_integrated_gradients_15,0.9648,0.2084,0.3512
24,0.25,relu,enhanced_integrated_gradients_5,0.9392,0.9816,0.9447
24,0.25,relu,enhanced_integrated_gradients_10,0.9024,1.278,0.8961
24,0.25,relu,enhanced_integrated_gradients_15,0.9072,1.723,0.9536
24,0.25,relu,gradient_shap,0.8608,3.259,1.392
24,0.25,relu,integrated_gradients,0.8712,3.2,1.255
24,0.25,relu,smooth_grad,0.8688,3.123,1.244
